Month,Rain_7d_Sum,Temp_7d_Avg,Fire_Danger_Index,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI
1,0.1,9.8,0.96,9.8,98,0.1,9.7,1702.7,11.2,211.6,0.4402
1,0.1,10.5,0.99,11.2,94,0.0,8.4,1701.8,11.4,208.8,0.4555
1,0.1,10.9,1.06,11.7,88,0.0,8.1,1703.0,11.2,209.7,0.414
1,0.1,11.1,1.03,11.7,99,0.0,8.8,1704.3,11.0,209.7,0.4292
1,0.1,11.02,0.91,10.7,95,0.0,8.2,1701.6,10.8,209.6,0.466
1,0.1,10.883333333333333,0.98,10.2,95,0.0,9.2,1701.6,10.9,211.0,0.4326
1,0.1,10.828571428571427,0.89,10.5,97,0.0,8.3,1704.4,11.2,211.1,0.406
1,0.0,11.185714285714285,0.88,12.3,98,0.0,7.1,1703.2,10.5,210.5,0.4476
1,0.0,11.6,0.96,14.1,96,0.0,6.6,1701.3,11.3,210.4,0.4439
1,0.0,12.185714285714285,1.44,15.8,90,0.0,8.3,1702.8,10.9,209.3,0.4472
1,0.0,12.828571428571426,1.13,16.2,94,0.0,6.6,1701.3,10.8,210.4,0.4459
1,0.0,13.12857142857143,0.88,12.8,96,0.0,6.7,1701.3,10.7,208.5,0.4641
1,0.0,13.471428571428572,0.97,12.6,99,0.0,7.7,1702.4,11.2,213.0,0.4345
1,0.0,13.9,1.08,13.5,100,0.0,8.1,1699.1,11.0,211.6,0.4436
1,0.0,14.1,0.91,13.7,100,0.0,6.7,1699.4,11.5,211.1,0.4385
1,0.0,14.142857142857142,1.2,14.4,100,0.0,8.4,1701.2,10.6,210.5,0.4551
1,0.0,13.671428571428569,0.78,12.5,99,0.0,6.2,1700.5,10.8,210.5,0.4567
1,0.0,13.614285714285716,1.7,15.8,89,0.0,9.7,1702.5,11.0,208.0,0.4506
1,0.0,14.128571428571428,1.51,16.4,90,0.0,8.4,1700.6,10.8,208.5,0.4773
