Date,Location_ID,District,Lat,Lon,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI
1/1/2018,1,Pauri Garhwal,29.84,78.683,9.8,98,0.1,9.7,1702,11,210,0.445
1/2/2018,1,Pauri Garhwal,29.84,78.683,11.2,94,0,8.4,1702,11,210,0.445
1/3/2018,1,Pauri Garhwal,29.84,78.683,11.7,88,0,8.1,1702,11,210,0.445
1/4/2018,1,Pauri Garhwal,29.84,78.683,11.7,99,0,8.8,1702,11,210,0.445
1/5/2018,1,Pauri Garhwal,29.84,78.683,10.7,95,0,8.2,1702,11,210,0.445
1/6/2018,1,Pauri Garhwal,29.84,78.683,10.2,95,0,9.2,1702,11,210,0.445
1/7/2018,1,Pauri Garhwal,29.84,78.683,10.5,97,0,8.3,1702,11,210,0.445
1/8/2018,1,Pauri Garhwal,29.84,78.683,12.3,98,0,7.1,1702,11,210,0.445
1/9/2018,1,Pauri Garhwal,29.84,78.683,14.1,96,0,6.6,1702,11,210,0.445
1/10/2018,1,Pauri Garhwal,29.84,78.683,15.8,90,0,8.3,1702,11,210,0.445
1/11/2018,1,Pauri Garhwal,29.84,78.683,16.2,94,0,6.6,1702,11,210,0.445
1/12/2018,1,Pauri Garhwal,29.84,78.683,12.8,96,0,6.7,1702,11,210,0.445
1/13/2018,1,Pauri Garhwal,29.84,78.683,12.6,99,0,7.7,1702,11,210,0.445
1/14/2018,1,Pauri Garhwal,29.84,78.683,13.5,100,0,8.1,1702,11,210,0.445
1/15/2018,1,Pauri Garhwal,29.84,78.683,13.7,100,0,6.7,1702,11,210,0.445
1/16/2018,1,Pauri Garhwal,29.84,78.683,14.4,100,0,8.4,1702,11,210,0.445
1/17/2018,1,Pauri Garhwal,29.84,78.683,12.5,99,0,6.2,1702,11,210,0.445
1/18/2018,1,Pauri Garhwal,29.84,78.683,15.8,89,0,9.7,1702,11,210,0.445
1/19/2018,1,Pauri Garhwal,29.84,78.683,16.4,90,0,8.4,1702,11,210,0.445
1/20/2018,1,Pauri Garhwal,29.84,78.683,16.2,92,0,8.6,1702,11,210,0.445
1/21/2018,1,Pauri Garhwal,29.84,78.683,12.5,100,0,7.4,1702,11,210,0.445
1/22/2018,1,Pauri Garhwal,29.84,78.683,12.9,100,0,8.2,1702,11,210,0.445
1/23/2018,1,Pauri Garhwal,29.84,78.683,14.5,100,13.1,15.8,1702,11,210,0.445
