Date,Location_ID,District,Lat,Lon,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI
2018-01-01,1,Pauri Garhwal,29.84,78.683,9.8,98,0.1,9.7,1702.7,11.2,211.6,0.4402
2018-01-02,1,Pauri Garhwal,29.84,78.683,11.2,94,0.0,8.4,1701.8,11.4,208.8,0.4555
2018-01-03,1,Pauri Garhwal,29.84,78.683,11.7,88,0.0,8.1,1703.0,11.2,209.7,0.414
2018-01-04,1,Pauri Garhwal,29.84,78.683,11.7,99,0.0,8.8,1704.3,11.0,209.7,0.4292
2018-01-05,1,Pauri Garhwal,29.84,78.683,10.7,95,0.0,8.2,1701.6,10.8,209.6,0.466
2018-01-06,1,Pauri Garhwal,29.84,78.683,10.2,95,0.0,9.2,1701.6,10.9,211.0,0.4326
2018-01-07,1,Pauri Garhwal,29.84,78.683,10.5,97,0.0,8.3,1704.4,11.2,211.1,0.406
2018-01-08,1,Pauri Garhwal,29.84,78.683,12.3,98,0.0,7.1,1703.2,10.5,210.5,0.4476
2018-01-09,1,Pauri Garhwal,29.84,78.683,14.1,96,0.0,6.6,1701.3,11.3,210.4,0.4439
2018-01-10,1,Pauri Garhwal,29.84,78.683,15.8,90,0.0,8.3,1702.8,10.9,209.3,0.4472
2018-01-11,1,Pauri Garhwal,29.84,78.683,16.2,94,0.0,6.6,1701.3,10.8,210.4,0.4459
2018-01-12,1,Pauri Garhwal,29.84,78.683,12.8,96,0.0,6.7,1701.3,10.7,208.5,0.4641
2018-01-13,1,Pauri Garhwal,29.84,78.683,12.6,99,0.0,7.7,1702.4,11.2,213.0,0.4345
2018-01-14,1,Pauri Garhwal,29.84,78.683,13.5,100,0.0,8.1,1699.1,11.0,211.6,0.4436
2018-01-15,1,Pauri Garhwal,29.84,78.683,13.7,100,0.0,6.7,1699.4,11.5,211.1,0.4385
2018-01-16,1,Pauri Garhwal,29.84,78.683,14.4,100,0.0,8.4,1701.2,10.6,210.5,0.4551
2018-01-17,1,Pauri Garhwal,29.84,78.683,12.5,99,0.0,6.2,1700.5,10.8,210.5,0.4567
2018-01-18,1,Pauri Garhwal,29.84,78.683,15.8,89,0.0,9.7,1702.5,11.0,208.0,0.4506
2018-01-19,1,Pauri Garhwal,29.84,78.683,16.4,90,0.0,8.4,1700.6,10.8,208.5,0.4773
2018-01-20,1,Pauri Garhwal,29.84,78.683,16.2,92,0.0,8.6,1699.9,11.0,208.6,0.4533
2018-01-21,1,Pauri Garhwal,29.84,78.683,12.5,100,0.0,7.4,1704.2,11.1,210.1,0.4638
2018-01-22,1,Pauri Garhwal,29.84,78.683,12.9,100,0.0,8.2,1701.7,11.1,209.7,0.4317
2018-01-23,1,Pauri Garhwal,29.84,78.683,14.5,100,13.1,15.8,1702.1,11.5,211.0,0.4345
2018-01-24,1,Pauri Garhwal,29.84,78.683,11.0,98,4.9,9.8,1699.9,10.6,208.8,0.4747
2018-01-25,1,Pauri Garhwal,29.84,78.683,11.3,100,0.0,10.7,1701.2,11.1,211.2,0.4247
2018-01-26,1,Pauri Garhwal,29.84,78.683,10.9,100,0.1,8.5,1702.2,10.8,209.0,0.4565
2018-01-27,1,Pauri Garhwal,29.84,78.683,11.4,100,0.0,10.0,1700.3,11.1,209.5,0.4643
2018-01-28,1,Pauri Garhwal,29.84,78.683,13.5,93,0.0,9.7,1702.6,11.1,211.1,0.4626
2018-01-29,1,Pauri Garhwal,29.84,78.683,15.5,74,0.0,9.6,1701.1,10.7,210.6,0.4211
2018-01-30,1,Pauri Garhwal,29.84,78.683,17.0,81,0.0,12.2,1701.6,10.7,208.5,0.4397
2018-01-31,1,Pauri Garhwal,29.84,78.683,17.0,88,0.0,10.3,1701.1,11.2,211.3,0.4543
2018-02-01,1,Pauri Garhwal,29.84,78.683,17.3,88,0.0,10.0,1704.8,11.0,210.1,0.4561
2018-02-02,1,Pauri Garhwal,29.84,78.683,16.3,95,0.0,9.8,1702.0,10.9,207.4,0.4449
2018-02-03,1,Pauri Garhwal,29.84,78.683,13.9,95,0.0,8.4,1700.4,11.2,209.0,0.4346
2018-02-04,1,Pauri Garhwal,29.84,78.683,14.9,92,0.0,9.6,1703.2,11.2,209.5,0.4409
2018-02-05,1,Pauri Garhwal,29.84,78.683,15.5,90,0.0,7.5,1700.2,10.8,208.6,0.4357
2018-02-06,1,Pauri Garhwal,29.84,78.683,16.7,76,0.0,11.3,1702.3,10.7,211.6,0.4264
2018-02-07,1,Pauri Garhwal,29.84,78.683,14.7,86,0.0,11.0,1699.1,10.6,209.6,0.4405
2018-02-08,1,Pauri Garhwal,29.84,78.683,13.1,96,0.0,9.7,1700.0,11.0,210.6,0.4727
2018-02-09,1,Pauri Garhwal,29.84,78.683,13.2,95,0.0,10.1,1702.3,10.6,210.2,0.4408
2018-02-10,1,Pauri Garhwal,29.84,78.683,14.9,83,0.0,8.3,1703.1,11.0,210.8,0.4223
2018-02-11,1,Pauri Garhwal,29.84,78.683,16.4,73,0.2,11.9,1702.3,11.4,212.0,0.4396
2018-02-12,1,Pauri Garhwal,29.84,78.683,9.1,86,10.5,8.4,1701.8,10.9,210.8,0.4709
2018-02-13,1,Pauri Garhwal,29.84,78.683,12.3,89,1.2,9.2,1701.5,10.8,212.1,0.4211
2018-02-14,1,Pauri Garhwal,29.84,78.683,15.2,91,0.0,9.4,1699.8,11.6,210.8,0.445
2018-02-15,1,Pauri Garhwal,29.84,78.683,16.3,87,0.0,10.8,1700.9,11.5,210.2,0.4561
2018-02-16,1,Pauri Garhwal,29.84,78.683,16.1,93,0.0,8.6,1701.3,10.8,210.4,0.4279
2018-02-17,1,Pauri Garhwal,29.84,78.683,15.3,100,0.0,11.3,1703.6,11.0,206.8,0.4479
2018-02-18,1,Pauri Garhwal,29.84,78.683,15.2,95,0.0,9.9,1702.5,11.1,209.5,0.4313
2018-02-19,1,Pauri Garhwal,29.84,78.683,16.5,97,0.0,8.4,1699.4,11.1,209.8,0.4266
2018-02-20,1,Pauri Garhwal,29.84,78.683,16.5,95,0.0,10.1,1702.5,11.5,210.5,0.4543
2018-02-21,1,Pauri Garhwal,29.84,78.683,17.6,97,0.0,10.4,1701.4,11.0,210.0,0.4723
2018-02-22,1,Pauri Garhwal,29.84,78.683,18.0,96,0.1,11.6,1701.0,11.1,210.4,0.4392
2018-02-23,1,Pauri Garhwal,29.84,78.683,19.1,97,0.0,9.1,1702.9,11.2,208.4,0.4537
2018-02-24,1,Pauri Garhwal,29.84,78.683,17.1,72,1.6,9.3,1703.5,11.4,208.1,0.4523
