Month,Rain_7d_Sum,Temp_7d_Avg,Fire_Danger_Index,Max_Temperature_C,Max_Humidity_pct,Total_Rainfall_mm,Max_Wind_Speed_kmh,Elevation_m,Slope_deg,Aspect_deg,Baseline_NDVI,Risk_Category,Risk_Level_Numeric
1,0.1,9.8,0.96,9.8,98,0.1,9.7,1702.7,11.2,211.6,0.4402,High Risk,2
1,0.1,10.5,0.99,11.2,94,0.0,8.4,1701.8,11.4,208.8,0.4555,High Risk,2
1,0.1,10.9,1.06,11.7,88,0.0,8.1,1703.0,11.2,209.7,0.414,High Risk,2
1,0.1,11.1,1.03,11.7,99,0.0,8.8,1704.3,11.0,209.7,0.4292,High Risk,2
1,0.1,11.02,0.91,10.7,95,0.0,8.2,1701.6,10.8,209.6,0.466,High Risk,2
1,0.1,10.883333333333333,0.98,10.2,95,0.0,9.2,1701.6,10.9,211.0,0.4326,High Risk,2
1,0.1,10.828571428571427,0.89,10.5,97,0.0,8.3,1704.4,11.2,211.1,0.406,High Risk,2
1,0.0,11.185714285714283,0.88,12.3,98,0.0,7.1,1703.2,10.5,210.5,0.4476,High Risk,2
1,0.0,11.6,0.96,14.1,96,0.0,6.6,1701.3,11.3,210.4,0.4439,High Risk,2
1,0.0,12.185714285714283,1.44,15.8,90,0.0,8.3,1702.8,10.9,209.3,0.4472,High Risk,2
1,0.0,12.828571428571426,1.13,16.2,94,0.0,6.6,1701.3,10.8,210.4,0.4459,High Risk,2
1,0.0,13.12857142857143,0.88,12.8,96,0.0,6.7,1701.3,10.7,208.5,0.4641,High Risk,2
1,0.0,13.471428571428572,0.97,12.6,99,0.0,7.7,1702.4,11.2,213.0,0.4345,High Risk,2
1,0.0,13.9,1.08,13.5,100,0.0,8.1,1699.1,11.0,211.6,0.4436,High Risk,2
1,0.0,14.1,0.91,13.7,100,0.0,6.7,1699.4,11.5,211.1,0.4385,High Risk,2
1,0.0,14.142857142857142,1.2,14.4,100,0.0,8.4,1701.2,10.6,210.5,0.4551,High Risk,2
1,0.0,13.671428571428567,0.78,12.5,99,0.0,6.2,1700.5,10.8,210.5,0.4567,High Risk,2
1,0.0,13.614285714285716,1.7,15.8,89,0.0,9.7,1702.5,11.0,208.0,0.4506,High Risk,2
1,0.0,14.128571428571428,1.51,16.4,90,0.0,8.4,1700.6,10.8,208.5,0.4773,High Risk,2
1,0.0,14.642857142857142,1.5,16.2,92,0.0,8.6,1699.9,11.0,208.6,0.4533,High Risk,2
1,0.0,14.5,0.92,12.5,100,0.0,7.4,1704.2,11.1,210.1,0.4638,High Risk,2
1,0.0,14.385714285714286,1.05,12.9,100,0.0,8.2,1701.7,11.1,209.7,0.4317,High Risk,2
1,13.1,14.400000000000002,2.27,14.5,100,13.1,15.8,1702.1,11.5,211.0,0.4345,Low Risk,0
1,18.0,14.185714285714289,1.09,11.0,98,4.9,9.8,1699.9,10.6,208.8,0.4747,Low Risk,0
1,18.0,13.542857142857144,1.2,11.3,100,0.0,10.7,1701.2,11.1,211.2,0.4247,Low Risk,0
1,18.1,12.757142857142858,0.92,10.9,100,0.1,8.5,1702.2,10.8,209.0,0.4565,Low Risk,0
1,18.1,12.071428571428571,1.13,11.4,100,0.0,10.0,1700.3,11.1,209.5,0.4643,Low Risk,0
1,18.1,12.214285714285714,1.39,13.5,93,0.0,9.7,1702.6,11.1,211.1,0.4626,Low Risk,0
1,18.1,12.585714285714284,1.98,15.5,74,0.0,9.6,1701.1,10.7,210.6,0.4211,Low Risk,0
1,5.0,12.94285714285714,2.53,17.0,81,0.0,12.2,1701.6,10.7,208.5,0.4397,Low Risk,0
1,0.1,13.8,1.97,17.0,88,0.0,10.3,1701.1,11.2,211.3,0.4543,High Risk,2
2,0.1,14.657142857142857,1.94,17.3,88,0.0,10.0,1704.8,11.0,210.1,0.4561,High Risk,2
2,0.0,15.428571428571429,1.66,16.3,95,0.0,9.8,1702.0,10.9,207.4,0.4449,High Risk,2
2,0.0,15.785714285714286,1.22,13.9,95,0.0,8.4,1700.4,11.2,209.0,0.4346,High Risk,2
2,0.0,15.985714285714286,1.54,14.9,92,0.0,9.6,1703.2,11.2,209.5,0.4409,High Risk,2
2,0.0,15.985714285714286,1.28,15.5,90,0.0,7.5,1700.2,10.8,208.6,0.4357,High Risk,2
2,0.0,15.94285714285714,2.45,16.7,76,0.0,11.3,1702.3,10.7,211.6,0.4264,High Risk,2
2,0.0,15.614285714285714,1.86,14.7,86,0.0,11.0,1699.1,10.6,209.6,0.4405,High Risk,2
2,0.0,15.014285714285716,1.31,13.1,96,0.0,9.7,1700.0,11.0,210.6,0.4727,High Risk,2
2,0.0,14.571428571428571,1.39,13.2,95,0.0,10.1,1702.3,10.6,210.2,0.4408,High Risk,2
2,0.0,14.714285714285714,1.47,14.9,83,0.0,8.3,1703.1,11.0,210.8,0.4223,High Risk,2
2,0.2,14.928571428571429,2.64,16.4,73,0.2,11.9,1702.3,11.4,212.0,0.4396,High Risk,2
2,10.7,14.014285714285714,0.88,9.1,86,10.5,8.4,1701.8,10.9,210.8,0.4709,Low Risk,0
2,11.9,13.385714285714286,1.26,12.3,89,1.2,9.2,1701.5,10.8,212.1,0.4211,Low Risk,0
2,11.9,13.457142857142856,1.55,15.2,91,0.0,9.4,1699.8,11.6,210.8,0.445,Low Risk,0
2,11.9,13.914285714285713,2.0,16.3,87,0.0,10.8,1700.9,11.5,210.2,0.4561,Low Risk,0
2,11.9,14.328571428571433,1.47,16.1,93,0.0,8.6,1701.3,10.8,210.4,0.4279,Low Risk,0
2,11.9,14.385714285714286,1.71,15.3,100,0.0,11.3,1703.6,11.0,206.8,0.4479,Low Risk,0
2,11.7,14.214285714285714,1.57,15.2,95,0.0,9.9,1702.5,11.1,209.5,0.4313,Low Risk,0
2,1.2,15.271428571428572,1.41,16.5,97,0.0,8.4,1699.4,11.1,209.8,0.4266,High Risk,2
2,0.0,15.87142857142857,1.74,16.5,95,0.0,10.1,1702.5,11.5,210.5,0.4543,High Risk,2
2,0.0,16.214285714285715,1.87,17.6,97,0.0,10.4,1701.4,11.0,210.0,0.4723,High Risk,2
2,0.1,16.45714285714286,2.15,18.0,96,0.1,11.6,1701.0,11.1,210.4,0.4392,High Risk,2
2,0.1,16.885714285714283,1.77,19.1,97,0.0,9.1,1702.9,11.2,208.4,0.4537,High Risk,2
2,1.7000000000000002,17.142857142857142,2.18,17.1,72,1.6,9.3,1703.5,11.4,208.1,0.4523,High Risk,2
2,3.8,17.42857142857143,2.09,17.2,93,2.1,11.4,1703.4,11.3,208.6,0.4476,Low Risk,0
2,3.8,17.685714285714287,1.83,18.3,91,0.0,9.2,1700.7,11.2,211.9,0.4347,Low Risk,0
2,3.8,17.914285714285715,1.54,18.1,94,0.0,8.1,1701.5,10.5,208.5,0.4298,Low Risk,0
2,3.8,17.885714285714286,1.63,17.4,95,0.0,9.0,1702.5,10.9,209.1,0.433,Low Risk,0
3,3.7,18.214285714285715,2.07,20.3,94,0.0,9.7,1703.5,11.2,210.1,0.4423,Low Risk,0
3,3.7,18.32857142857143,2.26,19.9,95,0.0,10.9,1701.3,11.1,208.1,0.4387,Low Risk,0
3,2.6,18.74285714285714,2.26,20.0,85,0.5,9.7,1701.7,11.2,209.0,0.4278,Low Risk,0
3,7.4,18.74285714285714,2.33,17.2,87,6.9,11.9,1700.3,11.6,210.8,0.4419,Low Risk,0
3,9.8,18.47142857142857,1.96,16.4,95,2.4,11.5,1700.2,10.6,209.5,0.4355,Low Risk,0
3,9.8,18.357142857142858,1.69,17.3,89,0.0,8.8,1703.2,11.3,212.0,0.4534,Low Risk,0
3,9.8,18.571428571428573,2.29,18.9,85,0.0,10.4,1704.0,10.9,208.0,0.4391,Low Risk,0
3,9.8,18.32857142857143,2.0,18.6,95,0.0,10.3,1701.9,11.3,209.6,0.4577,Low Risk,0
3,9.8,18.3,3.08,19.7,91,0.0,14.4,1703.5,11.0,209.5,0.4484,Low Risk,0
3,9.3,18.414285714285715,3.53,20.8,78,0.0,13.4,1702.5,11.6,210.0,0.4376,Low Risk,0
3,2.5,18.88571428571429,2.5,20.5,76,0.1,9.4,1701.0,11.0,208.5,0.4425,Low Risk,0
3,0.1,19.542857142857144,3.14,21.0,80,0.0,12.1,1702.5,10.8,209.3,0.443,High Risk,2
3,0.1,20.3,3.24,22.6,80,0.0,11.6,1704.3,11.1,210.9,0.4475,High Risk,2
3,0.2,20.814285714285717,2.54,22.5,83,0.1,9.5,1701.9,11.1,209.7,0.4504,High Risk,2
3,9.0,20.542857142857144,2.36,16.7,79,8.8,11.3,1704.3,11.3,208.7,0.4382,Low Risk,0
3,11.1,20.37142857142857,2.65,18.5,87,2.1,12.6,1698.1,11.1,212.5,0.4414,Low Risk,0
3,11.9,20.014285714285712,2.81,18.3,70,0.8,10.9,1703.2,11.7,210.1,0.4467,Low Risk,0
3,11.8,20.057142857142857,3.05,20.8,72,0.0,10.7,1702.1,11.0,210.7,0.4006,Low Risk,0
3,11.8,20.028571428571432,2.93,20.8,75,0.0,10.7,1701.6,11.0,210.9,0.4533,Low Risk,0
3,11.8,20.042857142857144,3.35,22.7,81,0.0,12.1,1702.1,10.8,209.9,0.4307,Low Risk,0
3,22.8,19.642857142857142,2.31,19.7,92,11.1,10.9,1699.0,11.0,209.1,0.4407,Low Risk,0
3,18.4,19.857142857142858,2.46,18.2,93,4.4,12.7,1701.7,11.1,210.2,0.4348,Low Risk,0
3,16.299999999999997,19.985714285714288,2.19,19.4,85,0.0,9.7,1702.5,11.1,209.2,0.4562,Low Risk,0
3,15.9,20.414285714285715,2.3,21.3,87,0.4,9.5,1704.2,11.0,210.4,0.4604,Low Risk,0
3,17.5,20.514285714285712,2.42,21.5,85,1.6,9.7,1701.2,10.8,209.8,0.4433,Low Risk,0
3,17.5,20.942857142857143,3.6,23.8,77,0.0,11.8,1700.8,10.7,211.2,0.4435,Low Risk,0
3,17.5,21.2,3.6,24.5,86,0.0,12.8,1701.2,10.9,208.6,0.4444,Low Risk,0
3,6.7,21.81428571428572,4.61,24.0,76,0.3,14.8,1703.4,11.3,210.9,0.4448,Low Risk,0
3,3.4000000000000004,22.5,3.1,23.0,71,1.1,9.7,1702.5,11.4,210.7,0.46,Low Risk,0
3,4.1,22.67142857142857,2.73,20.6,70,0.7,9.4,1701.2,11.0,209.7,0.4902,Low Risk,0
3,3.7,22.5,3.07,20.1,73,0.0,11.3,1702.8,10.7,210.9,0.4424,Low Risk,0
4,2.1,22.428571428571427,3.3,21.0,76,0.0,12.1,1702.1,11.0,210.5,0.4535,Low Risk,0
4,2.1,22.17142857142857,2.76,22.0,86,0.0,10.9,1703.5,11.6,210.8,0.4323,Low Risk,0
4,3.2,21.785714285714285,2.44,21.8,83,1.1,9.4,1700.9,11.3,210.7,0.4337,Low Risk,0
4,4.7,21.571428571428573,2.15,22.5,87,1.8,8.4,1701.5,11.2,210.1,0.4297,Low Risk,0
4,5.6,21.61428571428572,3.36,23.3,85,2.0,12.4,1701.4,11.3,209.3,0.4651,Low Risk,0
4,8.5,21.914285714285715,3.23,22.7,82,3.6,11.8,1699.8,11.5,209.3,0.4556,Low Risk,0
4,15.3,21.58571428571429,1.38,17.8,88,6.8,6.9,1702.4,10.7,209.7,0.4392,Low Risk,0
4,26.0,21.6,2.27,21.1,93,10.7,10.1,1702.4,10.9,211.0,0.4482,Low Risk,0
4,27.2,21.357142857142858,1.57,20.3,91,1.2,7.1,1702.0,10.8,210.8,0.4565,Low Risk,0
4,26.7,21.15714285714285,1.61,20.4,93,0.6,7.4,1701.6,11.2,211.2,0.4629,Low Risk,0
4,28.6,20.62857142857143,2.2,18.8,93,3.7,11.0,1699.9,11.0,211.3,0.4511,Low Risk,0
4,29.7,20.2,1.58,20.3,93,3.1,7.3,1701.4,11.2,209.7,0.4464,Low Risk,0
4,26.1,19.9,1.9,20.6,88,0.0,8.2,1701.5,10.8,212.4,0.4648,Low Risk,0
4,19.3,20.61428571428572,4.21,22.8,71,0.0,13.3,1700.8,11.4,209.9,0.4284,Low Risk,0
4,8.6,21.071428571428573,3.29,24.3,67,0.0,9.2,1701.8,11.0,209.4,0.4162,Low Risk,0
4,8.4,21.52857142857143,4.27,23.5,64,1.0,11.8,1702.6,11.2,210.4,0.4638,Low Risk,0
4,8.9,22.0,4.46,23.7,66,1.1,12.6,1704.8,11.4,210.6,0.4383,Low Risk,0
4,5.2,22.871428571428574,4.91,24.9,69,0.0,13.8,1702.3,11.3,209.1,0.4651,Low Risk,0
4,2.1,23.571428571428573,6.62,25.2,66,0.0,17.6,1702.4,11.1,209.8,0.4738,Moderate Risk,1
4,3.5,24.02857142857143,3.57,23.8,71,1.4,10.8,1701.9,11.2,209.5,0.4728,Low Risk,0
4,7.2,24.1,3.23,23.3,79,3.7,11.1,1699.1,11.5,210.2,0.3998,Low Risk,0
4,7.2,24.0,4.1,23.6,64,0.0,11.3,1702.0,11.2,211.0,0.457,Low Risk,0
4,6.8,24.057142857142857,4.07,23.9,56,0.6,9.7,1702.1,10.8,209.7,0.4374,Low Risk,0
