Elevation_m,Slope_deg,Baseline_NDVI,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep,Month_Sin,Month_Cos,Aspect_Sin,Aspect_Cos,Soil_Moisture_Gradient,Rain_Slope_Interaction,Total_15D_Water_Load,Rain_norm,Slope_norm,Moisture_norm,Risk_Score,Landslide_Level
654.8097205,3.707658449,0.133820342,0.7,3.9,4.4,13.6,0.355,0.384,-0.866025404,-0.5,-0.245852611,0.969307224,-0.029,2.595360915,14.3,0.024637681159420288,0.06231936857315538,0.694716242661448,23.696575583414912,0
658.6236787,7.232052671,0.096848321,0.0,4.1,5.1,12.0,0.34,0.381,-0.866025404,-0.5,-0.261944688,0.965082888,-0.041,0.0,12.0,0.021739130434782608,0.12155838034813593,0.665362035225049,24.477177684586852,0
651.9596603,3.611822402,0.126512225,0.0,3.8,5.1,10.0,0.322,0.377,-0.866025404,-0.5,-0.341655116,0.9398254,-0.055,0.0,10.0,0.018115942028985508,0.06070852927451445,0.6301369863013698,21.450003148435947,0
656.6207985,6.821076433,0.144604289,2.3,0.7,5.1,7.1,0.31,0.373,-0.866025404,-0.5,-0.15032329,0.988636894,-0.063,15.6884758,9.4,0.01286231884057971,0.11465057586640472,0.6066536203522505,22.15361864018284,0
656.2307754,5.40542097,0.108767947,0.2,2.3,6.9,9.0,0.304,0.37,-0.866025404,-0.5,-0.281842306,0.959460742,-0.066,1.081084194,9.2,0.016304347826086956,0.09085583970480043,0.5949119373776908,21.225207225518215,0
649.6132698,6.693468161,0.11289473,2.1,2.5,6.6,9.2,0.298,0.366,-1.0,-1.84e-16,-0.287590182,0.957753563,-0.068,14.05628314,11.3,0.016666666666666666,0.11250570005188724,0.5831702544031311,21.536945300317214,0
658.3000508,7.411129965,0.10990214,3.4,4.6,8.4,11.3,0.309,0.364,-1.0,-1.84e-16,-0.366047273,0.930596257,-0.055,25.19784188,14.7,0.020471014492753625,0.12456836199595446,0.6046966731898239,22.696791635283496,0
658.3130392,6.878513861,0.117425825,5.3,5.7,8.7,14.7,0.32,0.362,-1.0,-1.84e-16,-0.07893141,0.996880049,-0.042,36.45612346,20.0,0.026630434782608695,0.11561600035052663,0.6262230919765166,23.320390161115647,0
652.9633518,6.582518802,0.111640024,4.2,10.8,13.3,18.4,0.371,0.361,-1.0,-1.84e-16,-0.167432242,0.985883586,0.01,27.64657897,22.6,0.03333333333333333,0.11064083194400066,0.726027397260274,26.43338020946157,0
653.1767784,3.532525283,0.128599779,1.8,12.9,17.5,22.6,0.398,0.361,-1.0,-1.84e-16,-0.141782994,0.989897764,0.037,6.358545509,24.4,0.04094202898550725,0.05937568094079504,0.7788649706457926,26.78490070701792,0
657.1959693,6.799533276,0.085377747,0.0,11.3,19.3,24.4,0.379,0.361,-1.0,-1.84e-16,-0.156167829,0.987730535,0.018,0.0,24.4,0.04420289855072464,0.11428847240952496,0.7416829745596869,27.44725935110534,0
653.9503066,3.328785965,0.113005597,0.0,6.0,17.0,24.4,0.359,0.359,-1.0,-1.84e-16,-0.339013006,0.940781687,0.0,0.0,24.4,0.04420289855072464,0.055951173040206234,0.7025440313111545,24.522972072569807,0
656.992007,5.063590271,0.119304137,0.0,1.8,16.8,23.9,0.339,0.357,-1.0,-1.84e-16,-0.348837265,0.937183313,-0.018,0.0,23.9,0.04329710144927536,0.08511025293794333,0.6634050880626223,24.187344287987983,0
649.3612517,5.011725327,0.086644012,0.0,0.0,14.7,23.4,0.322,0.355,-1.0,-1.84e-16,-0.071315178,0.997453831,-0.033,0.0,23.4,0.042391304347826085,0.08423849233603735,0.6301369863013698,23.126916533035256,0
651.5027061,5.093705698,0.091294434,0.8,0.0,11.3,23.1,0.313,0.353,-1.0,-1.84e-16,-0.385680093,0.922632574,-0.04,4.074964558,23.9,0.04184782608695652,0.08561644152590703,0.6125244618395304,22.618140144441384,0
