Elevation_m,Slope_deg,Baseline_NDVI,Rainfall_Day_0_mm,Rainfall_Antecedent_3D_mm,Rainfall_Antecedent_7D_mm,Rainfall_Antecedent_15D_mm,Soil_Moisture_Surface,Soil_Moisture_Deep,Month_Sin,Month_Cos,Aspect_Sin,Aspect_Cos,Soil_Moisture_Gradient,Rain_Slope_Interaction,Total_15D_Water_Load
654.8097205,3.707658449,0.133820342,0.7,3.9,4.4,13.6,0.355,0.384,-0.866025404,-0.5,-0.245852611,0.969307224,-0.029,2.595360915,14.3
658.6236787,7.232052671,0.096848321,0,4.1,5.1,12,0.34,0.381,-0.866025404,-0.5,-0.261944688,0.965082888,-0.041,0,12
651.9596603,3.611822402,0.126512225,0,3.8,5.1,10,0.322,0.377,-0.866025404,-0.5,-0.341655116,0.9398254,-0.055,0,10
656.6207985,6.821076433,0.144604289,2.3,0.7,5.1,7.1,0.31,0.373,-0.866025404,-0.5,-0.15032329,0.988636894,-0.063,15.6884758,9.4
656.2307754,5.40542097,0.108767947,0.2,2.3,6.9,9,0.304,0.37,-0.866025404,-0.5,-0.281842306,0.959460742,-0.066,1.081084194,9.2
649.6132698,6.693468161,0.11289473,2.1,2.5,6.6,9.2,0.298,0.366,-1,-1.84E-16,-0.287590182,0.957753563,-0.068,14.05628314,11.3
658.3000508,7.411129965,0.10990214,3.4,4.6,8.4,11.3,0.309,0.364,-1,-1.84E-16,-0.366047273,0.930596257,-0.055,25.19784188,14.7
658.3130392,6.878513861,0.117425825,5.3,5.7,8.7,14.7,0.32,0.362,-1,-1.84E-16,-0.07893141,0.996880049,-0.042,36.45612346,20
652.9633518,6.582518802,0.111640024,4.2,10.8,13.3,18.4,0.371,0.361,-1,-1.84E-16,-0.167432242,0.985883586,0.01,27.64657897,22.6
653.1767784,3.532525283,0.128599779,1.8,12.9,17.5,22.6,0.398,0.361,-1,-1.84E-16,-0.141782994,0.989897764,0.037,6.358545509,24.4
657.1959693,6.799533276,0.085377747,0,11.3,19.3,24.4,0.379,0.361,-1,-1.84E-16,-0.156167829,0.987730535,0.018,0,24.4
653.9503066,3.328785965,0.113005597,0,6,17,24.4,0.359,0.359,-1,-1.84E-16,-0.339013006,0.940781687,0,0,24.4
656.992007,5.063590271,0.119304137,0,1.8,16.8,23.9,0.339,0.357,-1,-1.84E-16,-0.348837265,0.937183313,-0.018,0,23.9
649.3612517,5.011725327,0.086644012,0,0,14.7,23.4,0.322,0.355,-1,-1.84E-16,-0.071315178,0.997453831,-0.033,0,23.4
651.5027061,5.093705698,0.091294434,0.8,0,11.3,23.1,0.313,0.353,-1,-1.84E-16,-0.385680093,0.922632574,-0.04,4.074964558,23.9
649.9106499,6.115730582,0.107381828,0,0.8,6.8,20.8,0.308,0.351,-1,-1.84E-16,-0.092627331,0.995700847,-0.043,0,20.8
653.5419805,4.480168157,0.105296519,0,0.8,2.6,20.1,0.297,0.349,-1,-1.84E-16,-0.081007129,0.996713522,-0.052,0,20.1
657.5415944,4.783228655,0.140028335,0,0.8,0.8,20.1,0.283,0.346,-1,-1.84E-16,-0.206621235,0.978421006,-0.063,0,20.1
654.6978774,5.795103828,0.0855204,0,0,0.8,20.1,0.27,0.344,-1,-1.84E-16,-0.267855204,0.963459179,-0.074,0,20.1
654.2033354,5.911849033,0.133816843,0,0,0.8,17.8,0.259,0.341,-1,-1.84E-16,-0.192898328,0.98121875,-0.082,0,17.8
652.6610689,4.687661013,0.088044134,0,0,0.8,17.6,0.25,0.339,-1,-1.84E-16,-0.210291072,0.977638821,-0.089,0,17.6
649.6360988,2.760719589,0.135166256,0,0,0.8,15.5,0.245,0.337,-1,-1.84E-16,-0.06061001,0.998161523,-0.092,0,15.5
656.6640967,3.795431522,0.110989559,0,0,0,12.1,0.241,0.335,-1,-1.84E-16,-0.27533832,0.961347393,-0.094,0,12.1
654.7076607,7.220076321,0.123302433,0,0,0,6.8,0.234,0.333,-1,-1.84E-16,-0.192497711,0.981297423,-0.099,0,6.8
658.3096551,7.137048533,0.095531712,0,0,0,2.6,0.227,0.331,-1,-1.84E-16,-0.216598331,0.976260807,-0.104,0,2.6
653.3196522,5.748243163,0.132697699,0,0,0,0.8,0.222,0.329,-1,-1.84E-16,-0.335245029,0.942130973,-0.107,0,0.8
653.0149964,3.426185597,0.114010893,1.1,0,0,0.8,0.223,0.328,-1,-1.84E-16,-0.095906941,0.995390305,-0.105,3.768804156,1.9
658.7434699,2.978544463,0.087619175,0.3,1.1,1.1,1.9,0.226,0.327,-1,-1.84E-16,-0.323207305,0.946328187,-0.101,0.893563339,2.2
650.4115749,7.247630135,0.132725356,0,1.4,1.4,2.2,0.222,0.325,-1,-1.84E-16,-0.189044476,0.981968526,-0.103,0,2.2
651.5236153,6.865839014,0.12924397,0,1.4,1.4,2.2,0.219,0.323,-1,-1.84E-16,-0.273770215,0.961795129,-0.104,0,2.2
653.8816422,4.489639122,0.130760787,0,0.3,1.4,1.4,0.217,0.322,-1,-1.84E-16,-0.105536273,0.994415454,-0.105,0,1.4
654.235443,5.648011587,0.113170313,0.5,0,1.4,1.4,0.215,0.321,-1,-1.84E-16,-0.105048268,0.994467124,-0.106,2.824005794,1.9
654.4871662,7.070759616,0.085865692,1.7,0.5,1.9,1.9,0.219,0.32,-1,-1.84E-16,-0.344626206,0.938739995,-0.101,12.02029135,3.6
651.1210993,3.190769873,0.137315031,2.4,2.2,3.6,3.6,0.246,0.319,-1,-1.84E-16,-0.068786368,0.997631413,-0.073,7.657847696,6
658.2684805,5.681312576,0.122870664,0.3,4.6,4.9,6,0.253,0.318,-1,-1.84E-16,-0.343540536,0.939137849,-0.065,1.704393773,6.3
656.035021,7.097427288,0.138143562,0,4.4,4.9,6.3,0.249,0.317,-1,-1.84E-16,-0.240382701,0.970678195,-0.068,0,6.3
651.5843985,6.682620305,0.097757797,0,2.7,4.9,6.3,0.241,0.316,-0.866025404,0.5,-0.157014617,0.987596279,-0.075,0,6.3
651.94193,3.93563907,0.126528891,0,0.3,4.9,6.3,0.233,0.315,-0.866025404,0.5,-0.256762866,0.966474433,-0.082,0,6.3
657.8035847,7.260235905,0.141598645,0.6,0,4.9,6.3,0.226,0.314,-0.866025404,0.5,-0.206333605,0.978481703,-0.088,4.356141543,6.9
652.8035541,3.515815471,0.144579298,1,0.6,5,6.9,0.244,0.314,-0.866025404,0.5,-0.053628403,0.998560962,-0.07,3.515815471,7.9
654.5636336,3.542866996,0.104123085,0,1.6,4.3,7.9,0.246,0.313,-0.866025404,0.5,-0.306335277,0.951923683,-0.067,0,7.9
650.2042678,2.983039777,0.124179301,0.5,1.6,1.9,7.9,0.241,0.312,-0.866025404,0.5,-0.134948935,0.990852555,-0.071,1.491519888,8.4
651.517328,3.090592098,0.109521937,0,1.5,2.1,7.3,0.237,0.311,-0.866025404,0.5,-0.170576501,0.985344436,-0.074,0,7.3
653.1657669,6.308266349,0.142869306,0,0.5,2.1,7,0.231,0.31,-0.866025404,0.5,-0.07071804,0.997496345,-0.079,0,7
